,Winery,Year,Wine ID,Wine,Rating,num_review,price,volume_ml,image,country
34,Villa des Anges,2020,7249882,Réserve 2020,4.1,642,5.95,750,//images.vivino.com/thumbs/xPM2UhsOQ5m3Z70TaM4hqg_pl_480x640.png,France
35,Foncalieu,2017,1787201,Les Cardounettes Rouge 2017,3.2,93,6.0,750,//images.vivino.com/thumbs/5ihfsa-IT9ak1mKFR8P5nw_pl_480x640.png,France
36,Château Bel Air l'Espérance,2015,1169929,Bordeaux 2015,4.1,35,6.0,375,//images.vivino.com/thumbs/Nc7-CIcrQoGMawXWjjmSjQ_pl_480x640.png,France
37,Foncalieu,2018,1787201,Les Cardounettes Rouge 2018,3.3,34,6.0,750,//images.vivino.com/thumbs/5ihfsa-IT9ak1mKFR8P5nw_pl_480x640.png,France
38,Domaine Laurent Mabileau,2016,18584,St-Nicolas-de-Bourgueil 2016,3.6,267,6.0,375,//images.vivino.com/labels/rDyCsAnmSYCT_WF714X5Zg.jpg,France
39,Château Galau,2017,1207651,Côtes de Bourg 2017,3.6,38,6.0,750,//images.vivino.com/thumbs/WnaL4x4cQXKz39zP3icoIQ_pl_480x640.png,France
40,Château Galau,2018,1207651,Côtes de Bourg 2018,3.6,57,6.0,750,//images.vivino.com/thumbs/WnaL4x4cQXKz39zP3icoIQ_pl_480x640.png,France
41,Marrenon,2017,1197031,Grande Toque Rouge 2017,3.5,94,6.2,750,//images.vivino.com/thumbs/TMrJmUUOTYabHesQixqVhw_pl_480x640.png,France
42,Domaine des Pasquiers,2019,1198075,Vaucluse 2019,3.6,54,6.25,750,//images.vivino.com/thumbs/u8rgFOzUSX2bnktYz0Ec4g_pl_480x640.png,France
43,Les Vignerons de Buzet,2017,1905385,Tradition Rouge 2017,3.2,206,6.25,750,//images.vivino.com/thumbs/zBoqmsZ9TceoKkxCD2EQYg_pl_480x640.png,France
44,Château Greteau Medeville,2015,1253443,Bordeaux Supérieur 2015,3.7,84,6.3,750,//images.vivino.com/thumbs/rP8wtoPnS7Sq82286BN9Kw_pl_480x640.png,France
45,Marrenon,2016,1903029,Les Grains Syrah 2016,3.3,120,6.3,750,//images.vivino.com/thumbs/oKnyPZ3iRLqScJ1-K_7j8w_pl_480x640.png,France
46,Château d'Anglès,2020,22362,Classique La Clape Rouge 2020,3.6,66,6.45,750,//images.vivino.com/thumbs/SO8eQQRDQNufFhbW7a99iQ_pl_480x640.png,France
47,Château Mayne-Vallet,2012,2367231,Blaye - Côtes de Bordeaux 2012,3.7,284,6.5,750,//images.vivino.com/thumbs/o7iQ0SaaSb2bldRxasrNYQ_pl_480x640.png,France
48,Château Galau,2015,1207651,Côtes de Bourg 2015,3.6,63,6.5,750,//images.vivino.com/thumbs/WnaL4x4cQXKz39zP3icoIQ_pl_480x640.png,France
49,Domaine Martin,2016,738342,Côtes du Rhône Rouge 2016,3.4,77,6.55,750,//images.vivino.com/thumbs/naqc2s4eRUq8HuICtH9EGA_pl_480x640.png,France
50,Château Chauvet,2016,1373082,Bordeaux Rouge 2016,3.1,31,6.6,750,//images.vivino.com/thumbs/mBmDKwn-SriN9CI0jQlQEQ_pl_480x640.png,France
51,Château Chauvet,2015,1373082,Bordeaux Rouge 2015,3.5,106,6.6,750,//images.vivino.com/thumbs/mBmDKwn-SriN9CI0jQlQEQ_pl_480x640.png,France
52,Marrenon,2017,3955158,Les Grains Pinot Noir Cuvée Rare 2017,3.4,124,6.6,750,//images.vivino.com/thumbs/ncKUE1JBTpO1Zn69Als4Uw_pl_480x640.png,France
53,É Gòt,2017,2129577,Merlot - Sangiovese 2017,3.3,28,6.6,750,//images.vivino.com/labels/TIIZ5fYfSo6KECtrGwZmug.jpg,Italie
54,Château Malbat,2020,2132260,Merlot - Cabernet Bordeaux 2020,3.6,35,6.81,750,//images.vivino.com/thumbs/GM7FELnGSvKODupEZ0mPKg_pl_480x640.png,France
55,Caleo,2021,1145299,Primitivo Salento 2021,3.6,72,6.9,750,//images.vivino.com/thumbs/ziqrSPCnTA2w9ErojnHtig_pl_480x640.png,Italie
56,Gérard Bertrand,2020,1462921,6ème Sens Rouge 2020,3.4,154,6.9,750,//images.vivino.com/thumbs/l-Q86RbLSbOtwrMZczplLQ_pl_480x640.png,France
57,Domaine La Grange,2016,1693439,Classique Rouge 2016,3.6,39,6.95,750,//images.vivino.com/thumbs/chbN7P5uQHKLrQ6g30t4Og_pl_480x640.png,France
58,Marrenon,2017,4010569,Capella 2017,3.5,64,7.0,750,//images.vivino.com/thumbs/xTgZitKBSEiJU_oPqtCrbw_pl_480x640.png,France
59,Foncalieu,2016,1787201,Les Cardounettes Rouge 2016,3.3,75,7.2,750,//images.vivino.com/thumbs/5ihfsa-IT9ak1mKFR8P5nw_pl_480x640.png,France
60,Domaine Martin,2017,738342,Côtes du Rhône Rouge 2017,3.5,51,7.2,750,//images.vivino.com/thumbs/naqc2s4eRUq8HuICtH9EGA_pl_480x640.png,France
61,Château Morillon,2019,1143708,Bordeaux Rouge 2019,3.4,58,7.2,750,//images.vivino.com/thumbs/GyaE_mTmRG6SlqE9xD1oqQ_pl_480x640.png,France
62,Château Aimée,2016,1387846,Médoc 2016,3.4,175,7.4,750,//images.vivino.com/thumbs/rn8_pUH6RrW95pJZ5pE1TA_pl_480x640.png,France
63,Les Jamelles,2020,10555,Cabernet Sauvignon 2020,3.5,79,7.4,750,//images.vivino.com/thumbs/TFfIj9ImR6C31W0nd-oCog_pl_480x640.png,France
64,Les Jamelles,2020,10556,Syrah 2020,3.9,378,7.4,750,//images.vivino.com/thumbs/cMwmrGF0SNm6jTK6KSxOug_pl_480x640.png,France
65,Domaine des Pasquiers,2020,1198075,Vaucluse 2020,3.5,25,7.4,750,//images.vivino.com/thumbs/u8rgFOzUSX2bnktYz0Ec4g_pl_480x640.png,France
66,Vinovalie,2020,5676307,Sang Mêlé 2020,4.2,389,7.45,750,//images.vivino.com/thumbs/L_qokgqlRdO9RUnuW8sk-g_pl_480x640.png,France
67,Paul Jaboulet Aîné,2020,10917,Côtes du Ventoux Les Traverses Rouge 2020,3.8,75,7.45,750,//images.vivino.com/thumbs/86mnDPhNRcCuuNo-DyGrmw_pl_480x640.png,France
68,Casillero del Diablo,2008,1135161,Merlot (Reserva) 2008,3.4,340,7.5,750,//images.vivino.com/thumbs/MbUwLPqCSx2JVTjMgvesmg_pl_480x640.png,Chili
69,Château Bel Air l'Espérance,2018,1169929,Bordeaux 2018,3.6,52,7.5,750,//images.vivino.com/thumbs/Nc7-CIcrQoGMawXWjjmSjQ_pl_480x640.png,France
